"component","cost_B","share_of_headline"
"A. Flat 50% match to observed savers (no new behavior)",5.7,0.381
"B. Cost of ACCESS: auto-enrolled margin at flat 50%",7.95,0.532
"C. Cost of GENEROSITY: match rate above 50% (200%-floor schedule)",1.29,0.087
"Headline total",14.95,1
