"metric","value"
"Hybrid eligible (reconstructed on frame, M)",44.47
"Hybrid eligible (published, M)",44.47
"RSAA eligible (M)",41.39
"Covered by BOTH (M)",22.13
"Hybrid ONLY (M)",22.35
"RSAA ONLY (M)",19.26
"In-universe with Missing access (M)",6.37
