"start_income","usm_credit_year1","rsaa_credit_year1","own_contrib_total","usm_gov_total","rsaa_gov_total","usm_balance_40yr","rsaa_balance_40yr"
18000,628,720,40717,47329,54289,341915,368941
25000,628,1000,56551,47315,75401,403349,512418
33350,448,1334,75439,33807,100585,424240,683566
45000,0,1800,101792,0,135722,395294,922353
