"vehicle","universe_M","eligible_M","contrib_flow_full_B","match_flow_full_B","universe_share_pct","eligible_share_pct","contrib_flow_headline_B","match_flow_headline_B"
"route: employer_plan",88.03,19.41,267.55,10.45,60.56,42.14,159.94,6.25
"route: universal_account",57.32,26.65,131.13,14.47,39.44,57.86,78.39,8.65
