"wave","year","hybrid_median_anchored_share","hybrid_full_cost_B","hybrid_capped_pct","currentlaw_cpi_indexed_share","currentlaw_frozen_share"
0,2027,31.6948045843428,24.9225267843728,12.5671634550568,22.7622925477339,22.7622925477339
1,2030,31.6948045843428,26.5695204565548,18.4848495076125,21.9393694977973,19.5917890732671
2,2033,31.6948045843428,28.161365652639,22.8086739570318,20.6362152668809,17.0211273996313
3,2036,31.6948045843428,29.738020772722,25.9340789319957,19.5639874732624,14.4650325499892
4,2039,31.6948045843428,31.3336393366584,28.7341571173224,18.6529632908118,12.3533487449332
5,2042,31.6948045843428,32.920366855721,36.9599293554692,17.8508870327826,10.6415867195868
6,2045,31.6948045843428,34.1936888469229,45.7983330998199,17.0105586515246,8.96987701778719
7,2048,31.6948045843428,35.2797413841453,51.4648849187345,16.2788776187701,7.92971772514525
8,2051,31.6948045843428,36.2425434805009,56.8849842367389,15.3340223178019,6.96291503822351
