"scenario","one_line_change","floor_pct","cap_usd","default_rate","pivot_single","eligible_M","eligible_share_pct","full_cost_B","headline_cost_B","avg_match_usd","multiple_of_baseline"
"1. As proposed","—",200,1000,0.03,32879.1888,46.066733317909,31.6948045843428,24.9225267843728,14.898686511698,541.009205327868,1
"2. Cap to $1,500","cap: 1000 -> 1500",200,1500,0.03,32879.1888,46.066733317909,31.6948045843428,26.3597185035321,15.7578397214115,572.207243817839,1.05766637273956
"3. Cap to $2,000","cap: 1000 -> 2000",200,2000,0.03,32879.1888,46.066733317909,31.6948045843428,26.7108202540242,15.9677283478557,579.828833741941,1.07175409961933
"4. Default contribution to 5%","default: 3% -> 5%",200,1000,0.05,32879.1888,46.066733317909,31.6948045843428,33.8894231315755,20.2590971480558,735.659350918216,1.35979081995913
"5. Floor to 300% (pivots held)","floor: 200% -> 300%",300,1000,0.03,32879.1888,39.5999550142039,27.2455358851333,25.8576750163925,15.4577181247994,652.972333102848,1.03752220792501
"6. First-draft design (300% floor,
pivots at full Single median)","floor 300% + pivot anchor: 0.6x median -> 1.0x median",300,1000,0.03,54798.648,74.7600941726782,51.4363924864827,62.2230486839125,37.1969385032429,832.302973564907,2.4966589151357
"7. First-draft design + $2,000 cap","scenario 6 + cap: 1000 -> 2000",300,2000,0.03,54798.648,74.7600941726782,51.4363924864827,89.2999855415461,53.3835313567363,1194.48733351357,3.58310320274348
