"filing_group_chr","route_chr","eligible_m","share_elig","dollars_b","mean_rate_pp"
"hoh","employer_plan",3.4772026048438,0.0781877511421577,2.24600308451199,70.8537282903605
"hoh","universal_account",3.76048645144165,0.0845576206658751,2.65798677147752,101.500135402537
"mfj","employer_plan",6.09769102882618,0.137111581602834,3.62576712557869,61.0255042512256
"mfj","universal_account",8.46073308086482,0.190246519338667,4.67795636488674,77.6792279589927
"single_mfs","employer_plan",8.91425226091808,0.200444269892173,4.04465447862106,67.0473716903425
"single_mfs","universal_account",13.7621069751023,0.309452257358292,6.61325182904108,84.4335983591805
