variant_chr,magi_num,seed_num
Flat $100 (headline),46250,0
Flat $100 (headline),46500,0
Flat $100 (headline),46750,0
Flat $100 (headline),47000,0
Flat $100 (headline),47250,0
Flat $100 (headline),47500,0
Flat $100 (headline),47750,0
Flat $100 (headline),48000,0
Flat $100 (headline),48250,0
Flat $100 (headline),48500,0
Flat $100 (headline),48750,0
Flat $100 (headline),49000,0
Flat $100 (headline),49250,0
Flat $100 (headline),49500,0
Flat $100 (headline),49750,0
Flat $100 (headline),50000,0
Flat $100 (headline),50250,0
Flat $100 (headline),50500,0
Flat $100 (headline),50750,0
Flat $100 (headline),51000,0
Flat $100 (headline),51250,0
Flat $100 (headline),51500,0
Flat $100 (headline),51750,0
Flat $100 (headline),52000,0
Flat $100 (headline),52250,0
Flat $100 (headline),52500,0
Flat $100 (headline),52750,0
Flat $100 (headline),53000,0
Flat $100 (headline),53250,0
Flat $100 (headline),53500,0
Flat $100 (headline),53750,0
Flat $100 (headline),54000,0
Pro-rata with match rate,0,100
Pro-rata with match rate,250,99.41833987416211
Pro-rata with match rate,500,98.83667974832423
Pro-rata with match rate,750,98.25501962248636
Pro-rata with match rate,1000,97.67335949664849
Pro-rata with match rate,1250,97.09169937081059
Pro-rata with match rate,1500,96.5100392449727
Pro-rata with match rate,1750,95.92837911913483
Pro-rata with match rate,2000,95.34671899329695
Pro-rata with match rate,2250,94.76505886745906
Pro-rata with match rate,2500,94.18339874162116
Pro-rata with match rate,2750,93.60173861578329
Pro-rata with match rate,3000,93.02007848994543
Pro-rata with match rate,3250,92.43841836410753
Pro-rata with match rate,3500,91.85675823826965
Pro-rata with match rate,3750,91.27509811243176
Pro-rata with match rate,4000,90.69343798659389
Pro-rata with match rate,4250,90.111777860756
Pro-rata with match rate,4500,89.53011773491814
Pro-rata with match rate,4750,88.94845760908024
Pro-rata with match rate,5000,88.36679748324235
Pro-rata with match rate,5250,87.78513735740448
Pro-rata with match rate,5500,87.2034772315666
Pro-rata with match rate,5750,86.62181710572871
Pro-rata with match rate,6000,86.04015697989081
Pro-rata with match rate,6250,85.45849685405294
Pro-rata with match rate,6500,84.87683672821508
Pro-rata with match rate,6750,84.29517660237718
Pro-rata with match rate,7000,83.7135164765393
Pro-rata with match rate,7250,83.13185635070141
Pro-rata with match rate,7500,82.55019622486353
Pro-rata with match rate,7750,81.96853609902566
Pro-rata with match rate,8000,81.38687597318777
Pro-rata with match rate,8250,80.80521584734988
Pro-rata with match rate,8500,80.223555721512
Pro-rata with match rate,8750,79.64189559567413
Pro-rata with match rate,9000,79.06023546983624
