magi_decile_int,total_match_dollars_M_num,share_num
1,9060.627460277145,0.37965188382251325
2,7296.295305683555,0.30572410905010233
3,3621.7083453190153,0.15175421371027473
4,2909.5712855574934,0.12191475971400395
5,977.4172572798665,0.040955033703105694
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
