magi_decile_int,match_dollars_B_num,seed_dollars_B_num
1,9.060627460277145,1.4528254565715193
2,7.296295305683555,1.4534527060277667
3,3.6217083453190155,0.6062030758495415
4,2.9095712855574933,0.5231619655731435
5,0.9774172572798665,0.41160403617770897
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
