"cl_status","part_status","workers_M","ceiling_B"
"Already eligible under current law","Already participating in a DC plan (inframarginal)",5.45926437130088,3.90396882144972
"Already eligible under current law","Not currently participating (newly reached)",27.6245319875095,17.8452847217856
"Newly eligible under proposal","Already participating in a DC plan (inframarginal)",4.10466691512394,1.10681911972002
"Newly eligible under proposal","Not currently participating (newly reached)",8.87827004397472,2.06645412141737
