"infra_group","workers_M","ceiling_cost_B","avg_match_usd","mean_magi_usd","share_workers","share_dollars"
"Already participating in a DC plan (inframarginal)",9.56393128642483,5.01078794116974,523.925548093609,46848.5319080563,0.207610364303968,0.201054571413348
"Has a DC account, not contributing",6.43094163400451,3.29577825630703,512.487664151723,41211.8699502151,0.139600557079319,0.132240935472626
"No DC account (newly reached)",30.0718603974797,16.615960586896,552.541823727293,35105.3902810539,0.652789078616713,0.666704493114026
