"bin","workers_M","share_with_dc","Current law, universal access","Current law, access-gated (as enacted)","Hybrid proposal"
0,1.41438001466549,0.185231931338877,103.910880362738,65.7990128098526,357.99473964809
5000,1.94575883729899,0.212660257520398,171.218677990408,75.5422399776833,572.631030725967
10000,2.48283488364124,0.215919438409936,229.270044118603,76.6999825091697,643.356682850592
15000,3.08013492611033,0.259596131799582,299.233808058992,92.2150359185064,666.362711778627
20000,3.95061374310037,0.233459935798171,309.51092366195,73.2088111000504,682.514322150336
25000,4.37210106402856,0.244091521761896,296.247967256352,86.5678717322211,693.46716685779
30000,5.09273474683689,0.308371290484731,204.109978643197,82.9032901547178,584.168458026706
35000,5.57168953690882,0.360973524581548,134.636738739326,44.8899110812813,455.56367189672
40000,5.0043665218561,0.372726437655709,148.318808521769,66.0412733825489,303.144791049134
45000,5.3203760648322,0.489112034561831,120.177982210505,68.6915483259903,221.075369080617
50000,5.49306612046704,0.516930944294492,119.724343146103,75.0721129425897,262.798683491735
55000,4.76930433591179,0.541895056570093,102.329616946271,64.6817309510405,269.087870164038
60000,4.17543651520288,0.55181831532224,64.4859042175791,33.552542801214,217.992441734946
65000,4.71705298718926,0.563618214504195,24.4736282820423,14.0940433687215,159.094813516856
70000,3.76049747273528,0.628913624619993,0.367873871135909,0.234931730871842,147.217151589788
75000,4.04848913356725,0.622929666722522,0,0,125.078013607619
80000,3.18133484174842,0.645580705852931,0,0,70.3220726478455
85000,3.67073344827533,0.614096850751994,0,0,12.5463204625641
90000,2.92437939622711,0.671948955579654,0,0,0
95000,3.04963733615686,0.67580197423069,0,0,0
