"access_cat","workers_m","earn_med","magi_med","self_emp_share","age_med","avg_match_fp","match_dollars_b","share_of_eligible","share_of_match_dollars"
"A. Has existing DC account",15.9948729204293,36277.763,40945.966,0.0767480668262743,44,519.326801707019,8.30656619747677,0.347210921383287,0.333295506885974
"B. No account, has workplace access",8.12128912548667,33059.971,34449.174,0.00770951822294502,33,557.087839693936,4.52427141444722,0.176294009593457,0.181533415676138
"C. Truly excluded: no account, no access",19.347257885794,27543.6,32881.812,0.161119727834075,40,538.203484813469,10.4127616157192,0.419983282779734,0.417805213163552
"D. No account, access unknown",2.60331338619902,22876.6887272727,21960.556,0,38,644.919495912434,1.67892755672956,0.0565117862435223,0.0673658642743361
