"decile","workers_m","earn_med","share_eligible_hybrid","avg_match_hybrid","avg_match_current","avg_match_curr_univ","dollars_hybrid_b","dollars_current_b","share_dollars_hybrid","share_dollars_current"
1,14.5274086175033,10961.697,0.740308007010428,284.533076314271,65.4098721898027,153.797191177675,4.13352826481266,0.95023594091993,0.165855103721045,0.2582987517471
2,14.5372865901191,25211.138,0.79212156681403,517.607264042696,64.6349019967886,220.67329339717,7.52460513851613,0.939616094051578,0.301919833555332,0.255412002181318
3,14.5343473204873,35844.935,0.781091579022907,420.941440721199,53.5096895443111,125.545993185832,6.11810910102822,0.777728412848464,0.245485104859611,0.211406735513005
4,14.5386219400692,45512.52,0.407565771585773,213.499438195637,40.3868730992535,75.3381257070788,3.10398761634353,0.587169479331598,0.124545462151528,0.159607879521499
5,14.5285110117717,55850.114,0.239067856868182,152.434797632674,18.4762785919875,38.5540146490283,2.2146506359835,0.268432816980252,0.0888614005772543,0.0729669954251911
6,14.5399085448071,67675.281,0.134847740517936,86.1938400892266,6.09755123806876,11.9257227088239,1.25325055202308,0.088657837348795,0.0502858543544193,0.0240994975391283
7,14.5347696792502,82634.079,0.0602672025686027,26.108829268381,1.25359040991638,2.19765556673014,0.379485820010784,0.0182206478802514,0.0152266190059322,0.00495284423670199
8,14.5333869634989,105438.431,0.00440865223639741,3.84422936891456,1.04380935748966,1.25128297176935,0.0558696729948826,0.0151700853085184,0.00224173389312655,0.00412362228195018
9,14.5282783425252,141816.75,0.00333494373294749,3.327160897822,0.966035216084141,1.50209402446363,0.0483379196139239,0.0140348285079518,0.00193952724104337,0.00381503006619494
10,14.542227304214,248637.826,0.00660901819671527,6.2371506887235,1.34497927613171,1.66956310359836,0.0907020630460521,0.0195589943529645,0.0036393606407086,0.00531664148791127
